gene	yg_ESS	varg_ESS
ENSG00000127720	500	500
ENSG00000256574	415.33	500
ENSG00000109819	414.92	500
ENSG00000161057	573.07	500
ENSG00000237787	342.28	500
ENSG00000051596	569.93	500
ENSG00000172244	500	402.29
ENSG00000189241	413.48	423.25
ENSG00000182511	346.76	207.7
ENSG00000100796	500	500
ENSG00000135541	542.72	500
ENSG00000143376	500	500
ENSG00000214814	379.45	574.55
ENSG00000165240	500	415.9
ENSG00000180739	433.14	413.67
ENSG00000172172	490.23	405.73
ENSG00000172020	342.02	500
ENSG00000100218	413.92	500
ENSG00000163870	500	500
ENSG00000029639	500	500
ENSG00000132604	473.86	392.21
ENSG00000139218	393.71	500
ENSG00000111218	436.29	358.7
ENSG00000267596	401.45	468.66
ENSG00000142185	500	500
ENSG00000131724	500	500
ENSG00000162676	686.16	390.93
ENSG00000213417	500	435.43
ENSG00000101194	500	500
ENSG00000112812	500	500
ENSG00000149483	500	500
ENSG00000005884	500	416.48
ENSG00000128595	500	423.93
ENSG00000136531	500	500
ENSG00000100211	349.85	420.7
ENSG00000183617	500	518.22
ENSG00000175220	344.73	500
ENSG00000112981	500	438.57
ENSG00000186479	500	500
ENSG00000156282	500	500
ENSG00000168283	429.04	500
ENSG00000204165	340.1	439.18
ENSG00000204533	500	500
ENSG00000178934	326.11	500
ENSG00000034510	462.61	500
ENSG00000187608	500	398.57
ENSG00000100652	500	500
ENSG00000258472	257.17	279.71
ENSG00000174684	431.19	358.56
ENSG00000162621	500	500
ENSG00000261052	382.32	394.61
ENSG00000230873	532.87	500
ENSG00000167536	500	500
ENSG00000145103	388.52	365.08
ENSG00000131652	407.71	428.07
ENSG00000107185	397.32	436.28
ENSG00000090539	500	374.21
ENSG00000102805	500	261.37
ENSG00000119314	497.45	478.38
ENSG00000159259	434.46	500
ENSG00000196652	500	500
ENSG00000100568	564.96	500
ENSG00000008283	701.36	402.46
ENSG00000108468	500	500
ENSG00000176566	500	318.78
ENSG00000164114	405.8	392.15
ENSG00000169313	500	429.56
ENSG00000158109	500	470.43
ENSG00000136044	264.19	469.78
ENSG00000163898	342.42	295.33
ENSG00000102057	500	500
