gen	lnl	s0	s1	tau	alpha_r_library_1	alpha_r_library_2	alpha_r_library_3	alpha_r_library_4	spike_probability	inactive_mean	inactive_variance	active_mean_component1	active_mean_component2	active_variance_component1	active_variance_component2	weight_active	weight_within_active_component_1	weight_within_active_component_2
5010	-10611.3063	-2.0059	-0.3429	0.7997	17.6963	12.9697	13.7956	12.3425	0.1116	-1.9146	1.7346	2.6245	7.2711	1.7346	1.7346	0.7293	0.9913	0.0087
5020	-10639.9137	-1.9876	-0.3331	0.7943	18.2777	12.9697	15.614	13.129	0.1286	-1.7677	1.8089	2.6998	6.9219	1.8089	1.8089	0.7251	0.9885	0.0115
5030	-10606.4607	-1.9888	-0.3414	0.804	18.2777	12.9697	15.614	13.129	0.1137	-1.7677	1.726	2.6556	7.0457	1.726	1.726	0.7126	0.9924	0.0076
5040	-10464.4837	-2.0932	-0.3414	0.8719	18.4166	12.9697	15.614	13.129	0.1305	-1.7968	1.6606	2.6534	6.9377	1.6606	1.6606	0.7204	0.992	0.008
5050	-10457.0156	-2.084	-0.3414	0.8722	18.902	12.9697	15.614	13.129	0.1364	-1.7554	1.7777	2.6824	7.6934	1.7777	1.7777	0.7215	0.9953	0.0047
5060	-10469.6597	-2.0568	-0.3481	0.8671	18.902	12.9697	15.614	13.129	0.1366	-1.8137	1.765	2.6647	7.5519	1.765	1.765	0.7296	0.9936	0.0064
5070	-10465.2258	-2.0758	-0.3481	0.8945	18.902	12.9697	17.3419	13.3173	0.1509	-1.957	1.8287	2.5981	7.3788	1.8287	1.8287	0.7371	0.9954	0.0046
5080	-10536.8103	-2.0739	-0.3472	0.879	18.871	12.9697	17.635	13.3173	0.124	-1.8322	1.83	2.6424	7.5954	1.83	1.83	0.7327	0.9953	0.0047
5090	-10369.0024	-2.113	-0.354	0.8978	19.1928	12.5944	17.6768	13.3173	0.1232	-1.8327	1.7848	2.6232	7.3518	1.7848	1.7848	0.7273	0.9891	0.0109
5100	-10445.9915	-2.0975	-0.3557	0.8944	19.3914	12.5944	17.4024	13.3173	0.1216	-1.7946	1.7709	2.618	6.9263	1.7709	1.7709	0.7151	0.9898	0.0102
5110	-10409.6699	-2.1123	-0.3557	0.9038	19.3914	12.5944	18.5636	12.3348	0.1162	-1.8018	1.7967	2.7112	7.7027	1.7967	1.7967	0.7189	0.993	0.007
5120	-10417.3367	-2.056	-0.3511	0.86	19.3914	12.5944	17.2268	12.6845	0.1151	-1.8337	1.7228	2.596	7.2603	1.7228	1.7228	0.7229	0.9909	0.0091
5130	-10415.5642	-2.0214	-0.3511	0.8544	19.2065	13.761	17.2268	12.6921	0.128	-1.9261	1.7236	2.6308	6.8388	1.7236	1.7236	0.7258	0.9918	0.0082
5140	-10461.7663	-2.0307	-0.3657	0.872	17.9165	13.5396	16.8033	13.1257	0.1206	-2.0131	1.7797	2.6067	7.2144	1.7797	1.7797	0.7333	0.9916	0.0084
5150	-10583.0839	-2.0317	-0.3642	0.8809	18.5803	13.0341	16.8033	13.3857	0.1241	-1.9325	1.787	2.6278	6.4504	1.787	1.787	0.7246	0.9915	0.0085
5160	-10477.228	-2.0194	-0.3724	0.8698	18.5803	13.0341	16.6429	13.3857	0.1264	-1.8886	1.8339	2.6337	6.4504	1.8339	1.8339	0.7183	0.9901	0.0099
5170	-10479.869	-2.0327	-0.371	0.8992	18.5803	13.6796	16.6429	13.1514	0.1327	-1.8281	1.7806	2.6537	6.8895	1.7806	1.7806	0.7302	0.9938	0.0062
5180	-10539.5036	-1.9813	-0.371	0.8538	18.5803	13.6796	15.4527	11.577	0.1209	-1.851	1.8378	2.6336	7.0697	1.8378	1.8378	0.724	0.9938	0.0062
5190	-10572.8793	-1.9761	-0.3704	0.8856	18.5803	12.3176	15.6865	11.577	0.1331	-1.8365	1.7005	2.6798	7.8582	1.7005	1.7005	0.7275	0.9954	0.0046
5200	-10600.1458	-1.9474	-0.3686	0.8329	18.5803	12.3176	15.6865	11.3279	0.1363	-1.8533	1.694	2.6594	7.2304	1.694	1.694	0.7306	0.9921	0.0079
5210	-10481.2811	-1.9689	-0.3686	0.8263	18.5803	13.4541	14.9702	11.3279	0.1179	-1.8641	1.8196	2.5727	8.1447	1.8196	1.8196	0.7325	0.9934	0.0066
5220	-10612.8432	-1.9819	-0.3686	0.8394	18.5803	13.4541	14.9702	11.3279	0.0937	-2.0016	1.7953	2.6681	7.1675	1.7953	1.7953	0.7257	0.9918	0.0082
5230	-10618.8328	-1.9522	-0.3686	0.8346	18.5803	13.4541	15.1748	11.3279	0.0934	-1.8377	1.7988	2.6777	8.3293	1.7988	1.7988	0.7277	0.9928	0.0072
5240	-10555.0663	-1.9731	-0.3686	0.8294	18.5803	13.4541	15.812	11.1624	0.1249	-1.9264	1.7988	2.6588	7.872	1.7988	1.7988	0.7286	0.9937	0.0063
5250	-10547.544	-1.9848	-0.361	0.8324	18.5803	13.4541	15.3174	13.1367	0.1132	-1.9312	1.7223	2.6707	7.3026	1.7223	1.7223	0.72	0.9919	0.0081
5260	-10458.5643	-2.0018	-0.3615	0.8511	17.6849	13.4541	15.3174	13.1367	0.1173	-1.9291	1.7582	2.6667	7.2787	1.7582	1.7582	0.726	0.9927	0.0073
5270	-10517.4322	-1.9784	-0.3615	0.8438	17.0673	13.4541	15.3174	12.6288	0.1033	-1.9204	1.8305	2.6144	6.6501	1.8305	1.8305	0.7309	0.9903	0.0097
5280	-10537.7277	-1.9829	-0.3615	0.8467	17.0673	13.4541	15.3174	11.9005	0.1156	-2.0375	1.7669	2.6428	6.7007	1.7669	1.7669	0.7295	0.9907	0.0093
5290	-10587.3346	-1.984	-0.347	0.8246	17.1408	13.6046	14.6874	11.9005	0.0993	-1.8888	1.8216	2.6313	7.1297	1.8216	1.8216	0.7314	0.9891	0.0109
5300	-10678.4337	-2.0323	-0.347	0.8419	18.865	13.048	14.6874	13.1027	0.0877	-1.9184	1.8273	2.646	7.267	1.8273	1.8273	0.7226	0.9931	0.0069
5310	-10557.8168	-1.9767	-0.3502	0.8021	18.865	13.048	17.178	13.1027	0.1064	-1.9986	1.7857	2.6094	6.9216	1.7857	1.7857	0.74	0.9903	0.0097
5320	-10558.8376	-1.9631	-0.347	0.809	17.969	13.048	17.178	13.1027	0.1279	-1.9836	1.8836	2.6161	7.6702	1.8836	1.8836	0.7399	0.9919	0.0081
5330	-10544.519	-1.9875	-0.3494	0.8015	17.9956	13.048	17.2906	13.1027	0.1311	-1.9147	1.7801	2.6513	7.8464	1.7801	1.7801	0.7399	0.9972	0.0028
5340	-10453.4237	-1.9971	-0.349	0.8017	18.8969	13.048	17.2906	12.1239	0.1296	-1.8521	1.7451	2.6846	7.0043	1.7451	1.7451	0.7262	0.997	0.003
5350	-10378.8307	-2.0353	-0.3471	0.8147	18.8969	13.9688	17.2906	12.1481	0.1566	-1.8897	1.8046	2.6194	6.9524	1.8046	1.8046	0.7342	0.9893	0.0107
5360	-10497.3423	-2.0584	-0.3471	0.8366	18.8969	13.1692	16.9406	12.1481	0.1189	-1.8698	1.867	2.6222	7.3397	1.867	1.867	0.7273	0.9911	0.0089
5370	-10448.9277	-2.1033	-0.34	0.8731	18.8969	13.1692	16.144	12.1481	0.1097	-1.8542	1.7874	2.6446	7.3397	1.7874	1.7874	0.7388	0.9927	0.0073
5380	-10454.3843	-2.0035	-0.3461	0.8073	18.8969	13.1692	16.7121	12.4129	0.1227	-1.8232	1.7701	2.688	7.7327	1.7701	1.7701	0.7223	0.9965	0.0035
5390	-10439.7857	-2.0156	-0.3524	0.8264	18.8969	12.4535	16.7121	12.4129	0.1297	-1.7793	1.7414	2.6431	7.0489	1.7414	1.7414	0.7232	0.9924	0.0076
5400	-10464.4997	-2.04	-0.3524	0.8369	18.8696	13.9848	15.5692	12.4129	0.1037	-1.8901	1.7406	2.6895	7.1002	1.7406	1.7406	0.7288	0.9929	0.0071
5410	-10489.4342	-2.0131	-0.3439	0.8348	18.1923	13.9848	15.4664	12.4129	0.1267	-1.8919	1.7932	2.6447	7.1832	1.7932	1.7932	0.721	0.9919	0.0081
5420	-10491.9839	-1.9922	-0.3614	0.8143	19.7693	13.9848	16.0339	12.9595	0.0955	-1.9947	1.7742	2.6186	7.0176	1.7742	1.7742	0.7358	0.9947	0.0053
5430	-10477.1058	-2.0192	-0.3614	0.8193	18.1075	12.9853	14.6808	12.5139	0.1384	-1.9642	1.7171	2.6186	7.8888	1.7171	1.7171	0.7254	0.9934	0.0066
5440	-10405.0658	-2.0063	-0.3508	0.8218	18.1075	13.92	15.1422	12.5139	0.1173	-1.8753	1.7541	2.6514	6.8952	1.7541	1.7541	0.7269	0.9923	0.0077
5450	-10521.3595	-2.034	-0.3604	0.8509	18.4353	13.4396	15.1422	12.5139	0.1197	-1.8441	1.8038	2.6059	6.8591	1.8038	1.8038	0.7253	0.9903	0.0097
5460	-10521.9454	-2.0182	-0.3593	0.8456	18.4353	13.4396	15.1422	12.9458	0.1068	-1.9677	1.7789	2.6419	6.867	1.7789	1.7789	0.721	0.9914	0.0086
5470	-10527.685	-2.0067	-0.3593	0.8281	18.4353	13.4396	16.2552	12.9458	0.117	-1.9147	1.8141	2.6328	8.1854	1.8141	1.8141	0.7333	0.995	0.005
5480	-10586.2875	-2.0747	-0.347	0.8857	19.3088	13.4396	16.6649	13.0452	0.117	-1.8259	1.8188	2.6818	7.7403	1.8188	1.8188	0.7299	0.9944	0.0056
5490	-10502.7301	-2.0747	-0.3464	0.8823	19.0828	13.8282	16.6649	12.7411	0.1415	-1.83	1.6949	2.6356	6.279	1.6949	1.6949	0.7155	0.9884	0.0116
5500	-10491.7296	-2.0529	-0.3403	0.8633	19.8259	13.8282	16.4337	13.2977	0.116	-1.8959	1.6634	2.6201	6.8074	1.6634	1.6634	0.7357	0.9921	0.0079
5510	-10437.107	-2.0161	-0.3464	0.8445	20.3741	14.5984	16.4337	13.0091	0.1265	-1.8336	1.6421	2.6585	6.6042	1.6421	1.6421	0.7214	0.9889	0.0111
