gen	lnl	s0	s1	tau	alpha_r_library_1	alpha_r_library_2	alpha_r_library_3	alpha_r_library_4	spike_probability	inactive_mean	inactive_variance	active_mean_component1	active_mean_component2	active_variance_component1	active_variance_component2	weight_active	weight_within_active_component_1	weight_within_active_component_2
20100	-10350.1776	-2.0419	-0.3552	0.8424	19.2888	13.5587	17.5763	13.2834	0.0543	-1.4404	3.6381	2.8336	7.0024	1.3298	1.3298	0.6392	0.9858	0.0142
20150	-10604.6333	-1.9945	-0.3689	0.8439	21.3439	13.5587	16.6897	13.5401	0.0793	-1.1275	3.9311	2.8423	6.774	1.4023	1.4023	0.6361	0.9914	0.0086
20200	-10541.6278	-1.9851	-0.3522	0.8258	19.6469	13.1588	16.4809	11.4321	0.0464	-1.3915	3.8137	2.7903	6.2671	1.404	1.404	0.6485	0.982	0.018
20250	-10495.3142	-2.1587	-0.3532	0.9686	18.6699	13.5284	16.5129	12.8312	0.0792	-1.3343	3.5517	2.7985	6.1914	1.476	1.476	0.6613	0.9813	0.0187
20300	-10406.7761	-2.1505	-0.351	0.9668	17.9526	13.5284	16.2332	13.1706	0.0607	-1.2803	3.3962	2.819	6.2972	1.3312	1.3312	0.6597	0.9811	0.0189
20350	-10376.6795	-2.066	-0.3528	0.8742	18.4765	12.8149	16.2332	11.7417	0.0613	-0.9875	4.8223	2.8467	6.6366	1.4227	1.4227	0.6116	0.9882	0.0118
20400	-10483.3733	-2.0858	-0.3435	0.8799	18.8481	13.6167	16.4449	11.7417	0.033	-1.1648	4.3727	2.8934	6.658	1.3158	1.3158	0.6081	0.9809	0.0191
20450	-10458.4529	-2.0523	-0.3493	0.8403	19.9271	12.5801	16.4449	12.1562	0.0554	-1.2576	4.2326	2.801	5.9367	1.2916	1.2916	0.6448	0.9736	0.0264
20500	-10487.9321	-1.9979	-0.3594	0.8422	20.1493	12.5801	15.8948	11.9923	0.0607	-1.1197	4.0397	2.8112	6.9647	1.4019	1.4019	0.6366	0.9883	0.0117
20550	-10492.6382	-2.0285	-0.3542	0.8447	17.7391	12.5801	16.9519	11.9923	0.0677	-1.1816	4.3146	2.7951	6.5837	1.4002	1.4002	0.6208	0.9884	0.0116
20600	-10549.0519	-1.9451	-0.3558	0.8052	18.5775	13.6001	17.9569	13.1391	0.0474	-1.0731	4.5277	2.8959	6.9102	1.1955	1.1955	0.603	0.982	0.018
20650	-10635.169	-2.0424	-0.3524	0.8753	18.5775	13.6001	15.7022	12.7986	0.0449	-1.1088	4.6928	2.914	6.2433	1.2577	1.2577	0.6089	0.982	0.018
20700	-10449.6637	-2.0645	-0.3578	0.9089	18.4014	12.5951	15.7022	12.1342	0.0554	-1.183	4.1743	2.8179	7.0677	1.42	1.42	0.6459	0.9898	0.0102
20750	-10327.3428	-2.1025	-0.3535	0.9078	17.6151	12.9178	14.7434	12.5029	0.0581	-1.2926	3.625	2.8512	6.6353	1.4073	1.4073	0.6326	0.988	0.012
20800	-10380.4102	-2.1096	-0.3592	0.9087	17.0154	12.4435	15.1842	10.9677	0.0382	-1.4388	3.7851	2.8136	7.4291	1.4904	1.4904	0.6529	0.9865	0.0135
20850	-10430.4952	-2.1182	-0.3487	0.9041	18.4521	14.6005	15.6459	11.9483	0.0631	-1.4055	3.5519	2.8405	6.9596	1.3794	1.3794	0.654	0.9882	0.0118
20900	-10443.3521	-2.0787	-0.3497	0.8789	17.9702	12.3329	15.6459	11.9483	0.0674	-1.1829	3.8858	2.8438	6.6817	1.3588	1.3588	0.6294	0.988	0.012
20950	-10437.1471	-2.0921	-0.3536	0.8671	19.5545	12.9771	15.3795	11.2911	0.0916	-1.2941	3.0013	2.8241	7.0877	1.4523	1.4523	0.6649	0.989	0.011
21000	-10505.186	-2.1189	-0.3443	0.9094	19.5545	12.9771	16.965	12.9456	0.086	-1.4941	3.2481	2.799	7.7534	1.5072	1.5072	0.6657	0.9915	0.0085
21050	-10455.133	-2.0732	-0.3522	0.8751	17.0481	12.9771	16.4677	12.9456	0.0741	-1.5223	2.7854	2.7784	6.6589	1.5119	1.5119	0.6751	0.9833	0.0167
21100	-10500.7162	-2.0528	-0.3541	0.8854	17.0481	13.4266	15.1784	13.7775	0.0926	-1.2997	3.2938	2.7761	6.2821	1.3939	1.3939	0.6618	0.9837	0.0163
21150	-10607.607	-2.0321	-0.3494	0.872	18.9238	13.4266	17.1724	13.0446	0.0758	-1.5602	2.761	2.7255	7.3484	1.5595	1.5595	0.6793	0.9925	0.0075
21200	-10509.6632	-1.9829	-0.3577	0.8177	18.9238	12.7627	17.1049	11.9674	0.0963	-1.6059	2.6167	2.7587	7.8534	1.5723	1.5723	0.7028	0.9945	0.0055
21250	-10441.4851	-1.9789	-0.3522	0.8074	19.5639	12.6	17.0913	13.3472	0.0908	-1.4228	3.0447	2.8303	6.7443	1.4327	1.4327	0.6707	0.9874	0.0126
21300	-10550.019	-2.0231	-0.3519	0.8232	17.5562	13.2191	16.4805	13.3472	0.0765	-1.5884	2.8869	2.7618	7.5485	1.4951	1.4951	0.6799	0.9935	0.0065
21350	-10549.3341	-2.0065	-0.3597	0.8382	18.8824	12.8519	18.9285	12.4154	0.1169	-1.6576	2.4502	2.7561	7.1055	1.5178	1.5178	0.7023	0.991	0.009
21400	-10489.7608	-2.0211	-0.3527	0.8622	18.8215	12.8519	18.4401	12.1676	0.1066	-1.4435	2.9223	2.7585	7.0315	1.5311	1.5311	0.6821	0.9935	0.0065
21450	-10626.065	-2.0125	-0.3742	0.8802	18.6579	11.7179	17.2478	11.2136	0.0953	-1.6699	2.5167	2.7412	7.0249	1.6112	1.6112	0.694	0.9927	0.0073
21500	-10461.3437	-2.0472	-0.3747	0.9243	18.552	12.462	15.9546	12.4452	0.0827	-1.7425	2.4587	2.7172	7.7367	1.6688	1.6688	0.7114	0.9923	0.0077
21550	-10540.1678	-1.9971	-0.3708	0.8431	18.8256	12.462	15.9546	12.4452	0.0998	-1.8249	2.5142	2.6502	7.9929	1.8502	1.8502	0.7179	0.9934	0.0066
21600	-10337.4378	-2.063	-0.3701	0.9016	18.0384	13.2525	16.917	12.5007	0.1017	-1.9943	1.9068	2.5896	6.6727	1.841	1.841	0.7433	0.9892	0.0108
21650	-10423.6843	-1.9771	-0.3625	0.7872	18.0384	13.2525	15.3037	12.5906	0.1051	-1.9485	1.9658	2.7101	8.0554	1.7803	1.7803	0.7171	0.995	0.005
21700	-10357.2641	-2.0414	-0.3539	0.8239	17.5527	13.7996	15.1552	11.8066	0.111	-1.7619	1.9563	2.7029	7.3796	1.6348	1.6348	0.7143	0.9908	0.0092
21750	-10264.5139	-2.0664	-0.3653	0.8922	17.5527	13.5905	17.3348	11.8066	0.1225	-1.7963	1.8167	2.7056	7.487	1.7031	1.7031	0.7146	0.9901	0.0099
21800	-10559.2847	-2.0237	-0.3589	0.8555	17.5527	13.7084	15.4657	11.7779	0.077	-1.7837	2.3314	2.7029	6.2834	1.6005	1.6005	0.7085	0.9869	0.0131
21850	-10534.3665	-1.943	-0.3629	0.8153	19.1517	12.2218	15.4657	11.5233	0.0884	-1.7032	2.6008	2.7415	7.3328	1.6052	1.6052	0.6977	0.9934	0.0066
21900	-10471.6955	-2.0067	-0.3561	0.8311	20.113	13.2786	15.4657	12.0062	0.1008	-1.6423	2.4453	2.7532	7.0993	1.611	1.611	0.6942	0.9907	0.0093
21950	-10627.8074	-2.0462	-0.3462	0.8646	19.1591	12.9932	14.9181	12.0062	0.0726	-1.6332	2.7923	2.7218	7.6888	1.6193	1.6193	0.6887	0.9921	0.0079
22000	-10423.5101	-2.0619	-0.3585	0.8574	17.077	12.9932	16.7164	14.1332	0.0955	-1.7546	2.5485	2.708	6.5806	1.6051	1.6051	0.7107	0.9932	0.0068
22050	-10426.1405	-2.0865	-0.3514	0.8552	18.3776	12.9932	15.9044	13.4728	0.07	-1.5802	2.8784	2.7652	6.6109	1.5408	1.5408	0.6716	0.9889	0.0111
22100	-10638.4032	-2.1325	-0.3496	0.927	18.2998	13.7798	16.2758	12.7597	0.0773	-1.6138	2.6064	2.7437	7.0751	1.541	1.541	0.6926	0.99	0.01
22150	-10540.0225	-2.0305	-0.35	0.899	18.079	13.5982	18.0631	12.7597	0.0837	-1.5242	3.116	2.7927	7.0282	1.5786	1.5786	0.6704	0.9879	0.0121
22200	-10442.0443	-2.1254	-0.3593	0.9332	18.799	12.7164	15.7431	12.7687	0.0627	-1.6396	2.9551	2.7337	5.869	1.4751	1.4751	0.6804	0.9763	0.0237
22250	-10470.5479	-2.1073	-0.3446	0.8732	19.2248	14.0658	15.7431	12.7687	0.0735	-1.5872	2.8502	2.7533	6.3527	1.4859	1.4859	0.6761	0.9859	0.0141
22300	-10426.7921	-2.0439	-0.3455	0.836	18.0428	14.4757	15.7691	12.7687	0.0881	-1.399	3.1123	2.7457	8.2154	1.5575	1.5575	0.683	0.994	0.006
22350	-10454.7435	-2.1263	-0.3407	0.8914	20.2773	14.4757	15.5054	11.7616	0.0749	-1.4556	2.9864	2.7519	7.7305	1.5489	1.5489	0.6869	0.9941	0.0059
22400	-10493.8458	-2.0622	-0.3588	0.902	18.2472	11.3427	15.5054	11.7616	0.0665	-1.5642	3.062	2.807	7.0718	1.3911	1.3911	0.6748	0.9879	0.0121
22450	-10517.4169	-1.9858	-0.3659	0.8096	20.047	13.8557	15.5054	10.9338	0.0735	-1.6187	2.7207	2.7542	6.4665	1.3948	1.3948	0.6834	0.9837	0.0163
22500	-10535.0289	-2.0461	-0.3521	0.8572	17.9345	12.13	15.5054	12.3763	0.0798	-1.5962	2.843	2.7413	6.6743	1.4869	1.4869	0.6986	0.988	0.012
22550	-10635.7175	-2.0132	-0.3641	0.8967	21.1134	13.1285	17.448	12.6041	0.0704	-1.6729	2.6692	2.7556	7.0234	1.6282	1.6282	0.7038	0.9885	0.0115
22600	-10431.5368	-2.0698	-0.37	0.9061	19.3888	13.308	17.448	12.3964	0.058	-1.3046	3.7436	2.7998	6.4301	1.4401	1.4401	0.6376	0.9871	0.0129
22650	-10445.9944	-2.0573	-0.3689	0.8876	17.612	12.5516	17.448	11.5465	0.0683	-1.3291	3.4697	2.8256	6.8359	1.4003	1.4003	0.6445	0.9853	0.0147
22700	-10529.2372	-1.98	-0.3708	0.8515	19.3888	12.722	16.4501	11.5998	0.068	-1.2478	3.4638	2.8517	7.195	1.4109	1.4109	0.6402	0.9897	0.0103
22750	-10449.6596	-2.0799	-0.3498	0.8635	19.5047	12.722	17.1119	11.7551	0.0772	-1.3713	3.3373	2.7775	6.9775	1.4762	1.4762	0.6556	0.9874	0.0126
22800	-10359.5711	-2.0828	-0.3739	0.9184	19.5047	12.722	16.6552	11.782	0.0853	-1.3875	3.3641	2.7693	6.7339	1.4509	1.4509	0.6738	0.9908	0.0092
22850	-10210.2486	-2.0829	-0.3724	0.9246	17.6522	12.7767	16.5764	13.1891	0.0718	-1.5521	2.942	2.7624	5.7813	1.4024	1.4024	0.6688	0.9772	0.0228
22900	-10459.9204	-2.0375	-0.3736	0.8927	18.1531	12.7767	15.25	13.1891	0.0621	-1.5426	3.094	2.7518	6.7774	1.4669	1.4669	0.6748	0.984	0.016
22950	-10464.6125	-2.0253	-0.3648	0.859	18.7017	12.7767	16.6294	12.6975	0.0899	-1.8474	2.7821	2.7077	6.7384	1.508	1.508	0.6878	0.9856	0.0144
23000	-10419.659	-2.0547	-0.3564	0.8847	18.7017	13.5163	18.4596	12.4192	0.0726	-1.5139	3.451	2.7927	6.9598	1.4806	1.4806	0.6722	0.987	0.013
23050	-10508.3446	-2.0632	-0.3622	0.8829	18.7017	12.8993	16.4924	13.3351	0.0723	-1.461	3.2974	2.8103	7.2105	1.4945	1.4945	0.6605	0.9907	0.0093
