gene	prob_0	prob_1	prob_2
ENSG00000127720	0.210	0.790	0.000
ENSG00000256574	0.964	0.036	0.000
ENSG00000109819	0.333	0.667	0.000
ENSG00000161057	0.008	0.992	0.001
ENSG00000237787	1.000	0.000	0.000
ENSG00000051596	0.144	0.856	0.000
ENSG00000172244	0.560	0.440	0.000
ENSG00000189241	0.006	0.993	0.001
ENSG00000182511	0.010	0.989	0.001
ENSG00000100796	0.007	0.992	0.002
ENSG00000135541	0.047	0.953	0.000
ENSG00000143376	0.013	0.987	0.000
ENSG00000214814	0.996	0.004	0.000
ENSG00000165240	0.069	0.931	0.000
ENSG00000180739	0.187	0.813	0.000
ENSG00000172172	0.020	0.979	0.000
ENSG00000172020	0.972	0.028	0.000
ENSG00000100218	0.687	0.313	0.000
ENSG00000163870	0.011	0.989	0.000
ENSG00000029639	0.070	0.930	0.000
ENSG00000132604	0.042	0.958	0.000
ENSG00000139218	0.023	0.977	0.000
ENSG00000111218	0.823	0.177	0.000
ENSG00000267596	0.273	0.727	0.000
ENSG00000142185	0.165	0.835	0.000
ENSG00000131724	0.006	0.992	0.002
ENSG00000162676	0.083	0.917	0.000
ENSG00000213417	1.000	0.000	0.000
ENSG00000101194	0.013	0.987	0.000
ENSG00000112812	0.087	0.913	0.000
ENSG00000149483	0.010	0.990	0.000
ENSG00000005884	0.004	0.979	0.017
ENSG00000128595	0.005	0.991	0.003
ENSG00000136531	0.965	0.035	0.000
ENSG00000100211	0.009	0.991	0.000
ENSG00000183617	0.008	0.991	0.001
ENSG00000175220	0.005	0.991	0.004
ENSG00000112981	0.046	0.954	0.000
ENSG00000186479	0.700	0.300	0.000
ENSG00000156282	1.000	0.000	0.000
ENSG00000168283	0.010	0.990	0.000
ENSG00000204165	0.082	0.918	0.000
ENSG00000204533	0.794	0.206	0.000
ENSG00000178934	0.995	0.005	0.000
ENSG00000034510	0.000	0.014	0.986
ENSG00000187608	0.005	0.989	0.006
ENSG00000100652	0.997	0.003	0.000
ENSG00000258472	0.082	0.918	0.000
ENSG00000174684	0.007	0.992	0.001
ENSG00000162621	1.000	0.000	0.000
ENSG00000261052	0.752	0.248	0.000
ENSG00000230873	0.238	0.762	0.000
ENSG00000167536	0.090	0.910	0.000
ENSG00000145103	0.201	0.799	0.000
ENSG00000131652	0.006	0.993	0.001
ENSG00000107185	0.023	0.977	0.000
ENSG00000090539	0.021	0.979	0.000
ENSG00000102805	0.025	0.975	0.000
ENSG00000119314	0.011	0.989	0.000
ENSG00000159259	0.414	0.586	0.000
ENSG00000196652	0.112	0.888	0.000
ENSG00000100568	0.010	0.989	0.001
ENSG00000008283	0.008	0.991	0.001
ENSG00000108468	0.010	0.990	0.001
ENSG00000176566	1.000	0.000	0.000
ENSG00000164114	0.169	0.831	0.000
ENSG00000169313	0.406	0.594	0.000
ENSG00000158109	0.006	0.991	0.002
ENSG00000136044	0.012	0.987	0.000
ENSG00000163898	0.016	0.984	0.000
ENSG00000102057	0.155	0.845	0.000
ENSG00000189132	1.000	0.000	0.000
ENSG00000130349	0.050	0.950	0.000
ENSG00000113163	0.012	0.988	0.000
ENSG00000141968	0.015	0.985	0.000
ENSG00000179776	0.005	0.989	0.006
ENSG00000182333	0.923	0.077	0.000
ENSG00000155760	0.047	0.953	0.000
ENSG00000125266	0.009	0.990	0.001
ENSG00000184220	0.069	0.931	0.000
ENSG00000132669	0.007	0.992	0.001
ENSG00000107404	0.006	0.991	0.003
ENSG00000105829	0.050	0.950	0.000
ENSG00000244537	1.000	0.000	0.000
ENSG00000160111	0.017	0.983	0.000
ENSG00000165985	0.891	0.109	0.000
ENSG00000169026	0.015	0.985	0.000
ENSG00000196220	0.250	0.750	0.000
ENSG00000139211	0.013	0.987	0.000
ENSG00000131238	0.004	0.991	0.005
ENSG00000178804	1.000	0.000	0.000
ENSG00000088451	0.035	0.965	0.000
ENSG00000156049	0.030	0.969	0.000
ENSG00000099330	0.011	0.989	0.000
ENSG00000155792	0.070	0.930	0.000
ENSG00000221855	0.999	0.001	0.000
ENSG00000178567	0.012	0.988	0.000
ENSG00000101146	0.027	0.973	0.000
ENSG00000131153	0.818	0.182	0.000
ENSG00000164330	0.071	0.929	0.000
ENSG00000160285	0.006	0.992	0.001
ENSG00000105053	0.017	0.983	0.000
ENSG00000121671	0.008	0.992	0.001
ENSG00000154822	0.045	0.955	0.000
ENSG00000131686	1.000	0.000	0.000
ENSG00000183840	0.183	0.817	0.000
ENSG00000100577	0.048	0.952	0.000
ENSG00000136026	0.007	0.992	0.001
ENSG00000133665	0.218	0.782	0.000
