gene	yg_ESS	varg_ESS
ENSG00000127720	501	501
ENSG00000256574	501	501
ENSG00000109819	501	501
ENSG00000161057	473.95	501
ENSG00000237787	501	501
ENSG00000051596	501	442.6
ENSG00000172244	501	501
ENSG00000189241	501	501
ENSG00000182511	438.25	501
ENSG00000100796	408.51	501
ENSG00000135541	707.03	501
ENSG00000143376	657.45	501
ENSG00000214814	501	582.72
ENSG00000165240	501	501
ENSG00000180739	501	501
ENSG00000172172	501	501
ENSG00000172020	501	501
ENSG00000100218	501	501
ENSG00000163870	621.08	425.4
ENSG00000029639	625.8	441.05
ENSG00000132604	501	501
ENSG00000139218	501	501
ENSG00000111218	501	399.81
ENSG00000267596	501	501
ENSG00000142185	501	501
ENSG00000131724	501	184.21
ENSG00000162676	501	501
ENSG00000213417	501	501
ENSG00000101194	501	501
ENSG00000112812	501	501
ENSG00000149483	501	501
ENSG00000005884	277.56	501
ENSG00000128595	501	386.04
ENSG00000136531	618.36	501
ENSG00000100211	501	436.03
ENSG00000183617	501	501
ENSG00000175220	501	501
ENSG00000112981	501	488.5
ENSG00000186479	396.9	264.39
ENSG00000156282	619.7	501
ENSG00000168283	578.59	575.17
ENSG00000204165	501	501
ENSG00000204533	501	501
ENSG00000178934	501	501
ENSG00000034510	501	501
ENSG00000187608	501	501
ENSG00000100652	501	501
ENSG00000258472	501	388.42
ENSG00000174684	501	501
ENSG00000162621	501	364.75
ENSG00000261052	501	501
ENSG00000230873	501	501
ENSG00000167536	501	388.46
ENSG00000145103	501	501
ENSG00000131652	501	501
ENSG00000107185	571.5	501
ENSG00000090539	501	897.85
ENSG00000102805	501	501
ENSG00000119314	501	501
ENSG00000159259	501	501
ENSG00000196652	501	501
ENSG00000100568	501	501
ENSG00000008283	581.39	501
ENSG00000108468	501	501
ENSG00000176566	501	501
ENSG00000164114	501	501
ENSG00000169313	501	501
ENSG00000158109	501	501
ENSG00000136044	501	501
ENSG00000163898	501	569.04
ENSG00000102057	588.63	298.39
ENSG00000189132	501	501
ENSG00000130349	501	501
ENSG00000113163	501	501
ENSG00000141968	501	501
ENSG00000179776	501	501
ENSG00000182333	595.66	501
ENSG00000155760	473.88	501
ENSG00000125266	501	501
ENSG00000184220	501	501
ENSG00000132669	501	501
ENSG00000107404	501	501
ENSG00000105829	501	501
ENSG00000244537	513.26	570.17
ENSG00000160111	501	501
ENSG00000165985	668.56	407.19
ENSG00000169026	326.28	501
ENSG00000196220	501	501
ENSG00000139211	501	501
ENSG00000131238	428.72	501
ENSG00000178804	501	501
ENSG00000088451	523.78	501
ENSG00000156049	501	584.91
ENSG00000099330	501	388.58
ENSG00000155792	467.86	501
ENSG00000221855	501	501
ENSG00000178567	501	501
ENSG00000101146	501	323.09
ENSG00000131153	616.64	501
ENSG00000164330	486.07	501
ENSG00000160285	501	501
ENSG00000105053	572.98	501
ENSG00000121671	501	712.25
ENSG00000154822	623.48	409.37
ENSG00000131686	584.06	342.13
ENSG00000183840	501	501
ENSG00000100577	591.36	501
ENSG00000136026	501	501
ENSG00000133665	501	501
ENSG00000243649	501	585.36
ENSG00000078114	501	586.42
ENSG00000169291	501	514.57
ENSG00000177045	464.97	501
ENSG00000181852	501	501
ENSG00000167553	501	501
ENSG00000165905	435.89	501
ENSG00000132139	501	436.99
ENSG00000181938	501	501
ENSG00000082258	501	501
ENSG00000116062	501	501
ENSG00000076344	501	501
ENSG00000142279	501	625.94
ENSG00000170632	395.85	474.29
ENSG00000186577	432.63	501
ENSG00000008710	679.17	501
ENSG00000197943	501	501
ENSG00000082556	501	501
ENSG00000154222	373.21	501
ENSG00000213341	501	501
ENSG00000184156	501	484.32
ENSG00000047315	795.86	501
ENSG00000171824	501	501
ENSG00000186281	501	439.03
ENSG00000051341	501	501
ENSG00000126785	501	501
ENSG00000143217	501	431.62
ENSG00000106714	501	501
ENSG00000115159	501	501
ENSG00000162636	501	586.41
ENSG00000044115	501	422.46
ENSG00000258729	501	501
ENSG00000130700	601.79	501
ENSG00000088766	501	367.88
ENSG00000249581	501	501
ENSG00000100196	501	501
ENSG00000143921	530.75	486.66
ENSG00000114480	501	320.15
ENSG00000110987	501	627.81
ENSG00000143457	455.64	501
ENSG00000130270	501	501
ENSG00000132612	501	702.22
ENSG00000185269	501	501
ENSG00000163481	501	501
ENSG00000132185	595.33	501
ENSG00000214226	372.82	501
ENSG00000170214	585.31	501
ENSG00000145868	501	501
ENSG00000070669	580.28	501
ENSG00000125633	501	501
ENSG00000198899	444.76	501
ENSG00000182359	501	501
ENSG00000178585	501	501
ENSG00000162931	501	501
ENSG00000184730	570.58	501
ENSG00000164483	501	501
ENSG00000187550	501	248.55
ENSG00000077312	501	501
ENSG00000145022	426.6	501
ENSG00000196169	421.97	433.12
ENSG00000257207	501	392.72
ENSG00000179841	501	501
ENSG00000132275	501	409.89
ENSG00000204160	501	501
ENSG00000115310	501	501
ENSG00000261857	501	501
ENSG00000170876	995.46	501
ENSG00000119669	501	501
ENSG00000214188	745.1	501
ENSG00000186063	501	501
ENSG00000171840	501	501
ENSG00000180376	501	345.85
ENSG00000010319	501	501
ENSG00000241484	501	501
ENSG00000074356	647.85	501
ENSG00000145861	580.42	501
ENSG00000007384	501	501
ENSG00000242515	501	501
ENSG00000102595	505.79	501
ENSG00000101336	589.21	501
ENSG00000144026	403.18	501
ENSG00000129559	501	501
ENSG00000186051	501	501
ENSG00000175518	501	501
ENSG00000137501	501	501
ENSG00000256683	501	501
ENSG00000259119	501	501
ENSG00000006715	501	501
ENSG00000041353	501	604.16
ENSG00000143799	501	351.8
ENSG00000137699	501	501
ENSG00000081985	501	501
ENSG00000137842	501	501
ENSG00000148229	336.35	431.45
ENSG00000115484	501	572.47
ENSG00000188811	576.96	450.25
ENSG00000175066	501	501
ENSG00000129152	592.65	360.83
ENSG00000110719	501	441.19
ENSG00000185264	501	501
ENSG00000176219	590.88	501
ENSG00000197213	501	501
ENSG00000143545	501	435.13
ENSG00000092470	501	501
ENSG00000100814	501	460.88
ENSG00000119688	501	605.35
ENSG00000155622	673.17	318.45
ENSG00000149328	501	501
ENSG00000204291	501	501
ENSG00000163823	619.63	567.78
ENSG00000175718	401.91	501
ENSG00000188279	501	501
ENSG00000170989	433.26	501
ENSG00000154710	501	501
ENSG00000132470	501	501
ENSG00000108381	501	501
ENSG00000161955	501	501
ENSG00000182118	501	832.53
ENSG00000162739	501	447.82
ENSG00000139168	501	434.76
ENSG00000065054	600.21	535.04
ENSG00000164733	501	501
ENSG00000212864	501	501
ENSG00000198939	501	501
ENSG00000124164	501	501
ENSG00000136834	501	501
ENSG00000169951	501	501
ENSG00000187003	431.25	501
ENSG00000198887	501	501
ENSG00000222005	501	258.91
ENSG00000164600	501	501
ENSG00000124406	372.18	501
ENSG00000166974	259.48	420.5
ENSG00000165959	501	277.8
ENSG00000140650	501	501
ENSG00000184787	501	501
ENSG00000130856	501	501
ENSG00000167104	432.21	501
ENSG00000132475	501	501
ENSG00000162704	501	501
ENSG00000180694	501	501
ENSG00000173302	501	501
ENSG00000175305	501	501
ENSG00000096006	501	501
ENSG00000115474	573.63	501
ENSG00000173826	320.1	501
ENSG00000171396	591.72	501
ENSG00000204764	501	501
ENSG00000134588	501	501
ENSG00000136982	501	435.24
ENSG00000107566	582.05	501
ENSG00000145919	501	501
ENSG00000184792	501	501
ENSG00000203804	501	501
ENSG00000167994	501	501
ENSG00000151746	501	437.13
ENSG00000104320	501	501
ENSG00000064042	501	501
ENSG00000065613	501	501
ENSG00000163125	501	422.3
ENSG00000147138	438.23	501
ENSG00000198113	501	501
ENSG00000146426	427.65	501
ENSG00000128683	501	501
ENSG00000258417	286.94	501
ENSG00000116030	501	570.54
ENSG00000128573	501	428.04
ENSG00000187187	501	501
ENSG00000141084	501	501
ENSG00000143199	433.44	501
ENSG00000178665	501	501
ENSG00000106278	501	501
ENSG00000168646	440.14	501
ENSG00000141371	570.66	501
ENSG00000014914	424.91	501
ENSG00000197756	501	501
ENSG00000144045	501	501
ENSG00000185527	501	501
ENSG00000197406	501	501
ENSG00000104442	501	501
ENSG00000113391	420.11	570.32
ENSG00000101680	501	501
ENSG00000204913	588.65	501
ENSG00000146223	579.64	501
ENSG00000073754	501	501
ENSG00000076321	501	501
ENSG00000066135	501	401.72
ENSG00000128713	501	501
ENSG00000152078	501	501
ENSG00000151718	501	501
ENSG00000170175	501	314.02
ENSG00000233538	501	363.94
ENSG00000163331	501	501
ENSG00000214106	701.66	501
ENSG00000108771	507.56	679.45
ENSG00000204188	533.34	501
ENSG00000186153	501	501
ENSG00000139908	501	501
ENSG00000069849	430.36	501
ENSG00000110841	501	501
ENSG00000141569	547	595.81
ENSG00000135476	634.57	501
ENSG00000198380	429.16	501
ENSG00000011143	501	679.78
ENSG00000152904	501	501
ENSG00000115762	501	501
ENSG00000164035	501	501
ENSG00000249709	578.48	501
ENSG00000196600	501	501
ENSG00000122966	501	501
ENSG00000244165	501	501
ENSG00000129595	580.16	501
ENSG00000173890	579.64	518.9
ENSG00000151876	501	433.92
ENSG00000168918	501	501
ENSG00000125355	616.3	501
ENSG00000112319	621.41	501
ENSG00000176716	501	501
ENSG00000188986	501	501
ENSG00000197181	422.43	501
ENSG00000136098	501	501
ENSG00000134897	501	501
ENSG00000180305	501	501
ENSG00000251139	501	375.15
ENSG00000240403	501	437.73
ENSG00000235863	501	501
ENSG00000040933	501	501
ENSG00000152763	501	501
ENSG00000116957	501	501
ENSG00000132703	501	501
ENSG00000131381	891.58	501
ENSG00000153237	501	501
ENSG00000148426	501	299.59
ENSG00000121851	501	327.01
ENSG00000137054	612.3	501
ENSG00000115944	501	501
ENSG00000166664	501	501
ENSG00000132026	501	501
ENSG00000155886	501	613.12
ENSG00000179002	501	404.65
ENSG00000138802	501	501
ENSG00000115266	501	501
ENSG00000164896	501	343.63
ENSG00000158022	501	358.45
ENSG00000004864	501	501
ENSG00000176402	501	418.45
ENSG00000181396	501	766.4
ENSG00000151846	501	501
ENSG00000139613	501	216.39
ENSG00000206075	501	501
ENSG00000100425	501	501
ENSG00000047188	501	501
ENSG00000092421	501	501
ENSG00000198797	501	501
ENSG00000113580	501	501
ENSG00000187266	501	501
ENSG00000169122	501	501
ENSG00000104853	501	432.92
ENSG00000111652	501	501
ENSG00000158864	456.22	501
ENSG00000168268	501	496.12
ENSG00000166710	501	501
ENSG00000051825	501	501
ENSG00000078142	501	501
ENSG00000144031	501	501
ENSG00000183783	568.9	369.86
ENSG00000146826	501	597.01
ENSG00000048740	501	501
ENSG00000229615	501	501
ENSG00000137857	501	501
ENSG00000164066	501	501
ENSG00000186297	501	501
ENSG00000011566	501	501
ENSG00000014216	501	501
ENSG00000063761	501	501
ENSG00000093134	501	501
ENSG00000226174	501	501
ENSG00000139874	512.4	268.21
ENSG00000152049	501	501
ENSG00000156113	944.76	501
ENSG00000236624	625.88	440.43
ENSG00000080493	501	501
ENSG00000079689	645.58	501
ENSG00000154188	573.8	501
ENSG00000231925	597.16	501
ENSG00000230178	376.32	597.3
ENSG00000131378	501	501
ENSG00000119714	501	597.42
ENSG00000133740	501	501
ENSG00000196453	459.65	654.61
ENSG00000092096	501	501
ENSG00000188511	501	501
ENSG00000131187	501	439.82
ENSG00000136100	501	501
ENSG00000165655	572.64	637.77
ENSG00000163104	501	501
ENSG00000048392	715.18	501
ENSG00000070601	501	501
ENSG00000121716	501	501
ENSG00000167970	501	501
ENSG00000125875	501	501
ENSG00000148795	501	501
ENSG00000107165	501	501
ENSG00000101439	590.54	501
ENSG00000116525	501	501
ENSG00000163521	372.42	501
ENSG00000135090	501	501
ENSG00000198049	501	501
ENSG00000178796	501	437.1
ENSG00000183146	568.63	197.49
ENSG00000168828	501	416.72
ENSG00000091831	501	501
ENSG00000186310	503.34	501
ENSG00000116151	430.99	572.57
ENSG00000181781	501	575.75
ENSG00000164932	803.49	501
ENSG00000183795	451.53	501
ENSG00000177186	501	501
ENSG00000075945	501	501
ENSG00000158352	580.54	501
ENSG00000203722	581.35	501
ENSG00000197079	414.56	698.06
ENSG00000138434	501	501
ENSG00000162191	501	501
ENSG00000102900	501	501
ENSG00000124356	501	501
ENSG00000050438	501	501
ENSG00000206531	501	501
ENSG00000172995	422.26	501
ENSG00000255748	501	501
ENSG00000198597	501	307.41
ENSG00000213934	501	501
ENSG00000150753	722.26	501
ENSG00000179195	501	602.37
ENSG00000172531	591.76	501
ENSG00000071054	501	501
ENSG00000166321	501	501
ENSG00000124588	501	357.98
ENSG00000165891	501	501
ENSG00000188316	501	501
ENSG00000076258	501	425.93
ENSG00000242247	501	436.81
ENSG00000255103	639.26	397.17
ENSG00000006128	501	501
ENSG00000151952	501	501
ENSG00000172288	735.31	501
ENSG00000137880	408.29	437.3
ENSG00000112312	501	501
ENSG00000121653	501	501
ENSG00000103855	670.07	501
ENSG00000157350	501	345.16
ENSG00000176986	501	501
ENSG00000197329	406.03	97.03
ENSG00000144824	392.79	532.62
ENSG00000155629	583.91	501
ENSG00000126107	501	856.19
ENSG00000197312	501	413.48
ENSG00000172575	580.7	418.46
ENSG00000059915	501	376.61
ENSG00000198498	1199.19	501
ENSG00000086288	501	501
ENSG00000228856	501	501
ENSG00000106665	771.17	501
ENSG00000168746	661.32	528.79
ENSG00000198075	501	501
