gen	lnl	s0	s1	tau	alpha_r_library_1	alpha_r_library_2	alpha_r_library_3	alpha_r_library_4	spike_probability	inactive_mean	inactive_variance	active_mean_component1	active_mean_component2	active_variance_component1	active_variance_component2	weight_active	weight_within_active_component_1	weight_within_active_component_2
150	-30006.5489	-0.126	-0.018	0.2891	3.832	0.0865	0.4109	2.0481	0.0121	-1.3611	1.1083	2.6245	4.0614	1.55	1.55	0.782	0.9518	0.0482
200	-29222.9711	-0.2213	-0.0193	0.311	4.426	0.0865	0.5096	2.0481	0.003	-1.3978	0.898	2.6245	5.1335	1.55	1.55	0.774	0.9821	0.0179
250	-27705.2542	-0.3288	-0.0208	0.3449	4.426	0.101	0.6336	2.0481	9e-04	-1.345	1.0559	2.6014	5.3443	1.4329	1.4329	0.7766	0.9698	0.0302
300	-26466.9595	-0.43	-0.0211	0.3453	4.7895	0.1129	0.9319	2.729	6e-04	-1.376	0.9167	2.6146	6.702	1.462	1.462	0.773	0.9923	0.0077
350	-25391.6442	-0.5935	-0.0221	0.4029	4.7895	0.1336	1.2014	2.7982	1e-04	-1.3684	0.9393	2.6218	7.0224	1.462	1.462	0.7576	0.9898	0.0102
400	-23900.0419	-0.6553	-0.0232	0.4067	5.0835	0.2056	1.5382	3.5403	0.0134	-1.4295	0.8933	2.6218	6.6729	1.462	1.462	0.7506	0.9836	0.0164
450	-20436.7922	-1.0542	-0.0293	0.3944	5.0835	0.2056	1.6221	3.5403	0.0066	-1.4829	1.2664	2.6465	6.3469	1.6141	1.6141	0.7427	0.9905	0.0095
500	-18584.2097	-1.3972	-0.034	0.4412	5.1501	0.2056	2.1796	4.2672	0.0041	-1.564	1.4902	2.6777	7.129	1.5768	1.5768	0.7306	0.991	0.009
550	-16627.478	-1.8634	-0.0518	0.5898	6.2515	0.2676	2.1796	4.2672	0.0011	-1.5833	1.6056	2.6873	6.6061	1.6301	1.6301	0.7328	0.9883	0.0117
600	-15311.226	-2.202	-0.0791	0.7486	9.3289	0.2676	2.1796	5.1633	7e-04	-1.5836	1.8451	2.7033	7.0221	1.6011	1.6011	0.7045	0.9884	0.0116
650	-14509.8494	-2.3192	-0.1302	0.8355	9.4917	0.2676	2.2514	5.1633	0.0026	-1.7445	1.6923	2.6505	7.2982	1.6866	1.6866	0.7192	0.9933	0.0067
700	-14007.8451	-2.5151	-0.1798	1.0471	9.7689	0.2706	2.5739	7.2753	0.0087	-1.6839	1.6647	2.6888	7.2605	1.6514	1.6514	0.7246	0.9957	0.0043
750	-13453.5907	-2.475	-0.1879	1.0235	9.7689	0.3416	3.4786	7.7618	3e-04	-1.6425	2.1402	2.7202	7.6092	1.5854	1.5854	0.7211	0.9901	0.0099
800	-13136.0519	-2.4696	-0.246	1.0899	11.2803	0.3416	3.7648	7.5054	0.0078	-1.6703	2.3156	2.7258	7.2134	1.5965	1.5965	0.7156	0.9952	0.0048
850	-13137.9121	-2.4165	-0.2957	1.1108	11.2803	0.351	3.7648	7.5054	5e-04	-1.5187	2.2389	2.7635	7.5037	1.4969	1.4969	0.7033	0.9908	0.0092
900	-12607.8838	-2.2068	-0.3372	1.0486	11.8147	0.5085	6.0361	8.2916	0.0067	-1.69	2.2889	2.7135	7.2531	1.5392	1.5392	0.7103	0.9894	0.0106
950	-12259.3092	-2.1413	-0.3494	0.9797	11.8147	0.5945	8.655	8.2916	0.0098	-1.6911	2.0463	2.679	7.1936	1.5792	1.5792	0.7139	0.9925	0.0075
1000	-12059.7428	-2.1088	-0.357	0.9397	12.848	0.6992	8.655	9.1126	0.0238	-1.7354	2.4618	2.6912	6.8513	1.5841	1.5841	0.7205	0.9917	0.0083
1050	-11708.2344	-2.068	-0.368	0.9323	12.4706	0.9281	10.8212	9.5071	0.046	-1.6153	2.4732	2.6807	7.5049	1.6131	1.6131	0.6948	0.9936	0.0064
1100	-11998.4222	-1.9644	-0.3679	0.8652	13.2889	0.9664	10.8212	8.5514	0.0483	-1.5242	2.3413	2.6991	7.9178	1.6506	1.6506	0.6967	0.9945	0.0055
1150	-11594.104	-1.954	-0.3756	0.871	13.0934	1.2797	12.4181	10.0631	0.0469	-1.692	2.1681	2.692	6.9992	1.5791	1.5791	0.7077	0.9895	0.0105
1200	-11419.7685	-1.9618	-0.3658	0.8308	13.0934	1.5351	12.1434	8.6317	0.0508	-1.6508	2.2611	2.7413	7.3547	1.6605	1.6605	0.6898	0.9864	0.0136
1250	-11446.5535	-2.0154	-0.3554	0.838	14.6807	1.5351	12.1437	9.9861	0.0494	-1.4608	2.4391	2.7601	6.4583	1.5569	1.5569	0.6782	0.9878	0.0122
1300	-11308.5556	-2.0706	-0.3501	0.8857	15.7776	1.5351	12.8446	9.9861	0.0748	-1.3223	2.4756	2.8389	7.1638	1.344	1.344	0.6695	0.9898	0.0102
1350	-10818.2066	-2.0631	-0.3529	0.8862	14.5439	3.0125	12.8446	9.9861	0.0528	-1.4604	2.6406	2.7701	7.4028	1.4221	1.4221	0.6759	0.9914	0.0086
1400	-10732.6083	-2.0398	-0.3489	0.8343	14.5439	4.3224	12.3005	9.9861	0.0525	-1.5221	2.5699	2.7947	7.1819	1.4637	1.4637	0.6776	0.9893	0.0107
1450	-10719.4203	-2.0547	-0.3523	0.8476	14.5439	5.2835	12.4307	9.2825	0.0818	-1.4719	2.4943	2.7754	7.5565	1.596	1.596	0.6887	0.9946	0.0054
1500	-10589.4315	-2.0094	-0.3481	0.8262	16.1799	11.0328	13.034	10.9723	0.0635	-1.5004	2.9323	2.7562	7.0101	1.558	1.558	0.6833	0.9922	0.0078
1550	-10385.6533	-2.0717	-0.3536	0.8711	17.0164	11.0328	13.9761	10.9723	0.0726	-1.5561	2.8717	2.7294	6.9223	1.5744	1.5744	0.6827	0.9897	0.0103
1600	-10544.1805	-2.0232	-0.3616	0.8402	17.6998	12.5432	15.3434	12.076	0.0749	-1.5475	3.2669	2.7384	6.8509	1.5703	1.5703	0.6818	0.9886	0.0114
1650	-10447.1271	-2.0541	-0.3664	0.9103	16.9336	12.5432	15.3434	12.076	0.0625	-1.5641	2.8847	2.7888	7.2054	1.4861	1.4861	0.6767	0.9906	0.0094
1700	-10613.8069	-2.0548	-0.3467	0.8641	17.802	12.5432	15.6344	12.076	0.0714	-1.728	2.7616	2.743	7.2473	1.5797	1.5797	0.6825	0.9909	0.0091
1750	-10412.0522	-2.0162	-0.3651	0.8599	19.9499	12.5432	15.2359	12.1807	0.0878	-1.6045	2.6845	2.7335	6.7428	1.609	1.609	0.6861	0.989	0.011
1800	-10352.6052	-2.0548	-0.3504	0.8779	19.9499	12.5432	15.2359	12.1807	0.0873	-1.8181	2.2934	2.6943	6.6531	1.6066	1.6066	0.7038	0.9869	0.0131
1850	-10348.3618	-2.0795	-0.343	0.837	19.9499	13.3213	17.7462	12.1807	0.087	-1.771	2.3853	2.673	6.927	1.7077	1.7077	0.7139	0.9915	0.0085
1900	-10245.4977	-2.0173	-0.3541	0.8217	19.9499	13.3213	17.7462	12.1807	0.1193	-1.8599	2.1232	2.6981	7.5388	1.7756	1.7756	0.7213	0.995	0.005
1950	-10417.2264	-2.0765	-0.3475	0.8692	19.9499	13.8295	16.4804	12.1807	0.1181	-1.6551	2.2007	2.7549	6.9537	1.5761	1.5761	0.7006	0.9898	0.0102
2000	-10452.7094	-2.0454	-0.3527	0.8381	19.9499	13.8295	15.6708	12.1807	0.0759	-1.7096	3.1789	2.7118	7.01	1.6007	1.6007	0.6827	0.9943	0.0057
2050	-10392.6507	-2.0247	-0.3582	0.8405	18.9253	14.2339	16.9399	13.02	0.0494	-1.6327	3.1287	2.7427	6.6174	1.5177	1.5177	0.6819	0.9846	0.0154
2100	-10403.0271	-2.085	-0.3399	0.8499	20.9226	14.2339	16.9399	13.02	0.0459	-1.4942	4.1356	2.8286	6.4967	1.5207	1.5207	0.654	0.9901	0.0099
2150	-10519.539	-2.0846	-0.3424	0.876	21.3424	14.2339	15.8167	12.794	0.0529	-1.3865	3.9734	2.8367	6.9726	1.4038	1.4038	0.6395	0.9895	0.0105
2200	-10581.4734	-2.0934	-0.3573	0.8935	20.741	14.2339	16.9839	11.3881	0.0717	-1.3379	3.4995	2.8319	6.5858	1.4351	1.4351	0.6578	0.9868	0.0132
2250	-10527.9728	-2.1114	-0.3342	0.8798	20.5642	14.2339	17.9414	13.3053	0.0537	-1.376	3.7229	2.8831	7.4116	1.3283	1.3283	0.6448	0.9888	0.0112
2300	-10527.5317	-2.0229	-0.3465	0.8434	18.5987	13.3624	15.7273	13.7748	0.0638	-1.4627	3.6565	2.8038	7.0393	1.4152	1.4152	0.6617	0.9909	0.0091
2350	-10538.4275	-2.0385	-0.3395	0.8181	18.4651	12.5702	16.4642	13.5365	0.0827	-1.35	3.3585	2.8279	7.5614	1.4636	1.4636	0.6455	0.9936	0.0064
2400	-10551.1674	-2.0647	-0.3291	0.8412	18.4651	13.8165	15.727	12.1554	0.0777	-1.5889	2.8239	2.7562	7.309	1.5088	1.5088	0.6814	0.9915	0.0085
2450	-10420.8265	-2.012	-0.3541	0.8019	16.7003	13.8165	16.7746	11.527	0.0656	-1.5807	2.8552	2.7415	6.7516	1.5247	1.5247	0.6913	0.9897	0.0103
2500	-10395.5121	-2.0424	-0.3599	0.8536	16.7003	12.91	16.8371	12.8761	0.0735	-1.5198	3.0625	2.7562	6.2538	1.4264	1.4264	0.6697	0.9824	0.0176
2550	-10396.1346	-2.0859	-0.3595	0.8791	17.2808	12.91	17.1769	11.8992	0.0813	-1.4541	3.1124	2.7841	6.6971	1.4807	1.4807	0.6721	0.9921	0.0079
2600	-10369.826	-2.1141	-0.3529	0.8978	16.5846	12.4576	15.9751	11.0896	0.1003	-1.6697	2.3179	2.7435	6.5757	1.6298	1.6298	0.6941	0.9891	0.0109
2650	-10399.7149	-2.0446	-0.3617	0.8709	18.5044	12.4576	15.6077	11.0896	0.082	-1.778	2.5045	2.7114	7.5273	1.7213	1.7213	0.7152	0.9949	0.0051
2700	-10639.5023	-2.0552	-0.3556	0.9001	17.9704	12.9479	15.7809	10.8777	0.0986	-1.6144	2.1872	2.7481	7.7508	1.5651	1.5651	0.6938	0.996	0.004
2750	-10512.4882	-2.0724	-0.3562	0.8921	17.1423	13.6617	15.6717	12.6527	0.0816	-1.656	2.7106	2.7416	7.9014	1.6175	1.6175	0.704	0.9958	0.0042
2800	-10518.7824	-2.0692	-0.345	0.8824	16.9907	13.6617	15.6717	12.6899	0.0944	-1.6517	2.512	2.6988	7.3399	1.5641	1.5641	0.6858	0.9928	0.0072
2850	-10384.7873	-2.1015	-0.3707	0.9343	19.1142	13.6617	15.2115	12.6899	0.0827	-1.6688	2.6284	2.7175	6.528	1.467	1.467	0.7024	0.9862	0.0138
2900	-10420.7379	-2.0728	-0.3627	0.9115	18.8296	12.6065	16.9997	13.4404	0.1118	-1.5833	2.4829	2.7876	6.4636	1.5522	1.5522	0.6898	0.9896	0.0104
2950	-10423.5409	-2.0391	-0.3671	0.876	17.7594	12.6065	14.6423	13.2468	0.097	-1.6698	2.6255	2.7481	6.4656	1.4463	1.4463	0.6851	0.9818	0.0182
3000	-10603.2458	-2.0044	-0.3592	0.8357	17.7594	14.3208	15.1327	13.0391	0.0739	-1.6264	2.9308	2.7346	6.6799	1.5264	1.5264	0.6862	0.9877	0.0123
3050	-10539.0093	-2.0344	-0.3457	0.8565	17.838	12.2708	15.2522	12.1981	0.0716	-1.5671	2.7776	2.7964	7.0146	1.4347	1.4347	0.6701	0.9912	0.0088
3100	-10467.2421	-2.0857	-0.3546	0.8949	18.6471	12.3458	15.2522	13.3263	0.0666	-1.4909	3.0551	2.8069	6.7082	1.4298	1.4298	0.6746	0.99	0.01
3150	-10570.8287	-2.0608	-0.3664	0.8976	16.7343	12.8949	17.5807	13.3249	0.0426	-1.4495	3.0627	2.7729	6.4039	1.4595	1.4595	0.6632	0.9838	0.0162
3200	-10495.0825	-2.0328	-0.3562	0.8578	18.5097	12.8949	15.6893	13.2513	0.0536	-1.3401	3.5624	2.7995	6.9866	1.473	1.473	0.6586	0.9861	0.0139
3250	-10487.2158	-2.0923	-0.347	0.9002	19.0669	12.8949	17.0192	12.1887	0.0667	-1.5114	3.3006	2.7951	6.3303	1.4331	1.4331	0.6707	0.9875	0.0125
3300	-10485.05	-2.0185	-0.366	0.8549	17.9986	12.1951	15.377	12.1016	0.0707	-1.2595	3.9988	2.8137	6.6497	1.4056	1.4056	0.6433	0.9884	0.0116
3350	-10460.2936	-2.02	-0.3627	0.852	17.7897	12.6521	15.1015	12.5515	0.093	-1.4722	3.2591	2.8063	7.1268	1.4043	1.4043	0.6685	0.9915	0.0085
3400	-10448.8146	-1.9863	-0.356	0.8006	17.4252	12.8187	15.1015	12.571	0.0727	-1.3937	3.4627	2.7737	6.5941	1.5275	1.5275	0.6516	0.9905	0.0095
3450	-10541.2629	-1.9965	-0.365	0.8461	18.1698	12.8187	16.2923	12.571	0.0673	-1.2194	3.2895	2.886	7.4304	1.2617	1.2617	0.6362	0.9922	0.0078
3500	-10594.8284	-2.0036	-0.3555	0.8281	20.5217	13.2042	14.9449	11.9677	0.0439	-1.4746	3.4919	2.8445	6.7265	1.4105	1.4105	0.6629	0.9883	0.0117
3550	-10523.3191	-1.9995	-0.3604	0.831	18.929	13.2775	15.6711	11.5996	0.0688	-1.451	3.2022	2.7834	6.9917	1.4817	1.4817	0.6746	0.9912	0.0088
