gen	lnl	s0	s1	tau	alpha_r_library_1	alpha_r_library_2	alpha_r_library_3	alpha_r_library_4	spike_probability	inactive_mean	inactive_variance	active_mean_component1	active_mean_component2	active_variance_component1	active_variance_component2	weight_active	weight_within_active_component_1	weight_within_active_component_2
10100	-10603.7434	-1.9595	-0.3652	0.8006	20.4334	12.5171	15.7725	13.3185	0.0925	-1.6486	2.4735	2.7063	7.1116	1.6448	1.6448	0.7029	0.9897	0.0103
10150	-10613.6336	-1.9515	-0.3437	0.7629	18.602	14.1638	17.0284	12.8714	0.1061	-1.1622	2.9302	2.9045	7.7998	1.4519	1.4519	0.6358	0.9942	0.0058
10200	-10669.9729	-1.9131	-0.3434	0.7592	18.3965	12.698	17.0284	13.2204	0.0878	-1.1562	3.3629	2.8219	6.7838	1.414	1.414	0.6509	0.9881	0.0119
10250	-10689.0471	-1.9049	-0.355	0.7812	18.5082	12.9862	15.9853	11.9294	0.0877	-1.2602	3.0528	2.7878	6.5975	1.3997	1.3997	0.647	0.9847	0.0153
10300	-10555.3614	-1.9681	-0.3562	0.8069	18.5082	13.449	16.7911	11.7563	0.0967	-1.5503	3.0288	2.759	7.1341	1.4852	1.4852	0.6891	0.9873	0.0127
10350	-10553.1036	-2.0049	-0.3592	0.8357	18.5082	13.1139	16.7911	11.7472	0.0847	-1.7101	2.7015	2.6878	6.8358	1.5675	1.5675	0.7022	0.9902	0.0098
10400	-10400.4771	-2.0353	-0.3592	0.8418	17.5331	12.9243	15.4405	12.5794	0.0895	-1.4533	3.0889	2.7948	7.4515	1.4412	1.4412	0.6763	0.9915	0.0085
10450	-10476.2502	-2.0717	-0.3449	0.8445	20.5674	14.0487	17.1018	14.082	0.0544	-1.4727	3.4599	2.776	6.739	1.4317	1.4317	0.6612	0.9896	0.0104
10500	-10524.629	-2.0212	-0.3461	0.8378	17.9878	12.7422	16.5061	12.9519	0.0632	-1.3565	3.8998	2.8477	6.8216	1.4665	1.4665	0.649	0.9918	0.0082
10550	-10333.8149	-2.0252	-0.3622	0.8568	17.0511	14.1934	16.5473	11.3531	0.071	-1.3201	3.3355	2.8356	6.832	1.4974	1.4974	0.664	0.9911	0.0089
10600	-10366.1021	-2.0314	-0.3517	0.8445	18.2835	12.2777	15.7298	12.5622	0.0797	-1.4894	3.0241	2.7841	6.878	1.415	1.415	0.6645	0.9847	0.0153
10650	-10531.1104	-2.0291	-0.3503	0.8363	21.0429	12.1313	15.7298	12.8006	0.0854	-1.5157	3.2696	2.7933	6.8741	1.3793	1.3793	0.6673	0.9916	0.0084
10700	-10299.4068	-2.0022	-0.362	0.8216	17.9825	13.5206	16.6786	13.7757	0.0694	-1.3824	3.4316	2.8015	7.0581	1.4983	1.4983	0.6692	0.9937	0.0063
10750	-10455.7673	-2.0606	-0.3566	0.8593	20.895	12.8854	16.6786	12.8349	0.0538	-1.3685	3.888	2.8386	7.1754	1.5048	1.5048	0.6483	0.9904	0.0096
10800	-10431.9339	-2.0678	-0.351	0.878	20.2424	13.575	16.4198	12.465	0.0459	-1.5689	4.2343	2.8259	6.4101	1.3973	1.3973	0.6506	0.9845	0.0155
10850	-10529.9329	-2.0367	-0.3554	0.874	20.2388	12.6658	16.4816	13.6374	0.0453	-1.5188	3.9805	2.7637	7.4184	1.4936	1.4936	0.6656	0.9887	0.0113
10900	-10425.6951	-2.0278	-0.3554	0.856	19.4367	12.8252	16.189	13.6374	0.0539	-1.3986	3.9539	2.7556	7.1532	1.4115	1.4115	0.655	0.9912	0.0088
10950	-10416.0105	-2.0835	-0.3547	0.8929	20.8274	13.8775	16.189	12.2522	0.0474	-1.0137	4.5365	2.8777	6.1014	1.2039	1.2039	0.6051	0.9777	0.0223
11000	-10455.6289	-2.0431	-0.3493	0.8513	21.2131	13.0091	15.568	12.5489	0.0516	-1.3125	4.2406	2.8023	6.2728	1.353	1.353	0.6499	0.9862	0.0138
11050	-10549.0813	-2.0112	-0.359	0.8439	17.0011	13.0126	16.0553	12.6183	0.0581	-1.249	3.6516	2.8166	6.6028	1.4195	1.4195	0.6338	0.9861	0.0139
11100	-10464.6548	-2.0722	-0.3562	0.8463	17.629	13.0126	16.5024	12.445	0.0692	-1.5049	3.095	2.7857	6.7279	1.4192	1.4192	0.6738	0.9832	0.0168
11150	-10375.4088	-2.0867	-0.3522	0.8817	17.8549	13.5163	18.2294	12.7501	0.0903	-1.5509	2.7504	2.732	6.917	1.4531	1.4531	0.6845	0.9886	0.0114
11200	-10328.2265	-2.126	-0.3495	0.893	19.4581	13.0419	16.3925	12.7084	0.0833	-1.6579	2.5321	2.7176	6.983	1.5674	1.5674	0.6859	0.9896	0.0104
11250	-10459.8123	-2.0673	-0.3567	0.8838	20.0552	13.0419	16.3925	13.6157	0.0866	-1.821	2.4358	2.7183	7.4522	1.6362	1.6362	0.6982	0.9928	0.0072
11300	-10442.2013	-1.933	-0.3664	0.7921	19.579	14.1065	14.4413	13.2461	0.097	-1.7304	2.3428	2.6957	7.5576	1.7642	1.7642	0.7128	0.9946	0.0054
11350	-10564.4086	-1.9749	-0.3594	0.8254	20.1078	13.39	15.8132	13.4857	0.0925	-1.833	2.3013	2.72	6.479	1.6484	1.6484	0.7053	0.9883	0.0117
11400	-10512.7562	-2.0605	-0.3502	0.8602	18.6409	13.39	15.8132	12.9378	0.0877	-1.8986	2.1713	2.6843	7.2283	1.662	1.662	0.7148	0.9928	0.0072
11450	-10308.9685	-2.1015	-0.3583	0.9018	18.6409	13.7916	18.5494	13.0144	0.1104	-1.7842	2.0325	2.7047	7.3653	1.6429	1.6429	0.7166	0.9898	0.0102
11500	-10421.2048	-2.0784	-0.346	0.8834	18.7591	14.4583	16.4261	14.1587	0.0922	-1.831	2.5481	2.734	7.9925	1.7241	1.7241	0.7058	0.9957	0.0043
11550	-10400.4921	-2.0373	-0.3464	0.8679	20.2885	14.3733	16.7641	13.2289	0.1071	-1.7786	2.454	2.7344	6.8607	1.545	1.545	0.7008	0.9894	0.0106
11600	-10425.2396	-1.9707	-0.3626	0.7995	20.9828	14.8068	17.5021	12.614	0.1026	-1.5623	2.5995	2.7126	6.6349	1.4789	1.4789	0.6778	0.985	0.015
11650	-10458.9833	-2.0503	-0.3558	0.8427	20.5845	14.0422	17.646	12.6019	0.0944	-1.673	2.8026	2.7234	7.2438	1.5465	1.5465	0.6977	0.9925	0.0075
11700	-10463.5995	-2.0435	-0.3641	0.8847	20.5845	13.3474	16.8104	12.6019	0.0989	-1.72	2.3416	2.7313	7.291	1.5422	1.5422	0.6977	0.9907	0.0093
11750	-10493.1529	-2.0463	-0.3472	0.8781	20.5574	14.8952	17.2346	13.5021	0.0981	-1.553	2.7301	2.7152	6.9479	1.6062	1.6062	0.6854	0.9908	0.0092
11800	-10501.8874	-2.0169	-0.3572	0.8521	20.5574	13.9071	17.1419	12.5994	0.1306	-1.7418	1.805	2.6768	7.549	1.6456	1.6456	0.7067	0.9954	0.0046
11850	-10333.6653	-2.1078	-0.3501	0.89	19.3286	14.2587	15.3052	13.8726	0.1012	-1.6133	2.643	2.7304	6.9592	1.5549	1.5549	0.6839	0.99	0.01
11900	-10436.5075	-2.0702	-0.3458	0.8653	18.6801	13.2668	16.6713	11.9737	0.0734	-1.7198	2.9792	2.7133	7.4913	1.6426	1.6426	0.6981	0.9923	0.0077
11950	-10439.753	-2.0555	-0.3569	0.8661	17.6449	13.2566	15.5592	13.2753	0.0839	-1.8697	2.5263	2.6978	8.0195	1.7418	1.7418	0.7154	0.9935	0.0065
12000	-10467.4906	-2.0425	-0.3549	0.849	17.6449	14.1417	16.8316	12.6842	0.083	-1.9203	2.3806	2.693	6.2661	1.6976	1.6976	0.714	0.987	0.013
12050	-10438.6646	-2.0214	-0.3639	0.8743	19.5911	13.0325	16.8316	13.106	0.0779	-1.7149	2.6117	2.7392	6.7519	1.5946	1.5946	0.6961	0.9873	0.0127
12100	-10394.0811	-2.0307	-0.3633	0.8896	20.2605	13.2222	16.5725	12.8795	0.0879	-1.5694	3.0404	2.7762	6.3787	1.5362	1.5362	0.6941	0.9857	0.0143
12150	-10465.5358	-2.0617	-0.3488	0.8743	18.9602	13.6723	15.6665	13.3537	0.0807	-1.8285	2.8726	2.7039	7.4779	1.604	1.604	0.6927	0.9932	0.0068
12200	-10395.4526	-2.0008	-0.352	0.8237	18.9602	13.8606	17.4844	13.1084	0.0796	-1.8256	2.3276	2.6988	6.739	1.4795	1.4795	0.6927	0.9867	0.0133
12250	-10349.6263	-2.0891	-0.3484	0.8903	18.9602	12.8228	17.4844	13.6846	0.0788	-1.5318	3.3274	2.7833	6.9587	1.4805	1.4805	0.6653	0.9916	0.0084
12300	-10551.6288	-2.0691	-0.3453	0.8604	18.9602	12.6603	15.9956	13.6846	0.0818	-1.4151	3.4608	2.8018	7.1714	1.3913	1.3913	0.6573	0.9876	0.0124
12350	-10586.0823	-2.0428	-0.3535	0.8487	18.8467	13.2935	15.0462	12.8766	0.0806	-1.2892	3.3049	2.8227	6.8513	1.5181	1.5181	0.6535	0.9872	0.0128
12400	-10478.0678	-2.0779	-0.3418	0.8739	19.2676	13.4033	16.3915	12.5652	0.0778	-1.4171	3.3179	2.773	6.5039	1.4419	1.4419	0.6656	0.9756	0.0244
12450	-10458.0155	-2.0218	-0.3455	0.8164	17.5739	13.4033	14.7764	12.0508	0.0734	-1.567	2.8902	2.7909	7.1981	1.4754	1.4754	0.6853	0.9919	0.0081
12500	-10452.7028	-2.0781	-0.3474	0.867	17.5739	12.2875	16.5264	11.8139	0.0956	-1.4871	2.6519	2.7863	6.4451	1.5128	1.5128	0.6852	0.9917	0.0083
12550	-10501.3703	-2.0245	-0.3514	0.8615	19.2162	11.7151	15.7821	11.8476	0.0738	-1.4578	2.6674	2.8125	6.5114	1.5126	1.5126	0.6759	0.9836	0.0164
12600	-10492.9043	-2.0337	-0.3433	0.8521	18.2813	13.8374	14.9422	11.8476	0.0729	-1.4667	2.9937	2.7981	6.3816	1.4863	1.4863	0.6705	0.98	0.02
