gene	prob_active
ENSG00000127720	0.783
ENSG00000256574	0.041
ENSG00000109819	0.677
ENSG00000161057	0.995
ENSG00000237787	0.001
ENSG00000051596	0.881
ENSG00000172244	0.472
ENSG00000189241	0.991
ENSG00000182511	0.995
ENSG00000100796	0.995
ENSG00000135541	0.956
ENSG00000143376	0.991
ENSG00000214814	0.00600000000000001
ENSG00000165240	0.926
ENSG00000180739	0.804
ENSG00000172172	0.988
ENSG00000172020	0.035
ENSG00000100218	0.34
ENSG00000163870	0.993
ENSG00000029639	0.931
ENSG00000132604	0.959
ENSG00000139218	0.984
ENSG00000111218	0.195
ENSG00000267596	0.748
ENSG00000142185	0.858
ENSG00000131724	0.995
ENSG00000162676	0.926
ENSG00000213417	0
ENSG00000101194	0.989
ENSG00000112812	0.93
ENSG00000149483	0.99
ENSG00000005884	0.993
ENSG00000128595	0.999
ENSG00000136531	0.042
ENSG00000100211	0.994
ENSG00000183617	0.993
ENSG00000175220	0.994
ENSG00000112981	0.959
ENSG00000186479	0.305
ENSG00000156282	0
ENSG00000168283	0.99
ENSG00000204165	0.923
ENSG00000204533	0.241
ENSG00000178934	0.002
ENSG00000034510	1
ENSG00000187608	0.991
ENSG00000100652	0.001
ENSG00000258472	0.91
ENSG00000174684	0.991
ENSG00000162621	0
ENSG00000261052	0.235
ENSG00000230873	0.745
ENSG00000167536	0.923
ENSG00000145103	0.823
ENSG00000131652	0.993
ENSG00000107185	0.981
ENSG00000090539	0.981
ENSG00000102805	0.976
ENSG00000119314	0.995
ENSG00000159259	0.587
ENSG00000196652	0.898
ENSG00000100568	0.991
ENSG00000008283	0.999
ENSG00000108468	0.994
ENSG00000176566	0
ENSG00000164114	0.85
ENSG00000169313	0.597
ENSG00000158109	0.991
ENSG00000136044	0.99
ENSG00000163898	0.995
ENSG00000102057	0.87
ENSG00000189132	0
ENSG00000130349	0.944
ENSG00000113163	0.99
ENSG00000141968	0.98
ENSG00000179776	0.991
ENSG00000182333	0.074
ENSG00000155760	0.951
ENSG00000125266	0.988
ENSG00000184220	0.931
ENSG00000132669	0.994
ENSG00000107404	0.993
