gene	prob_0	prob_1	prob_2
ENSG00000127720	0.217	0.783	0
ENSG00000256574	0.959	0.041	0
ENSG00000109819	0.323	0.677	0
ENSG00000161057	0.005	0.995	0
ENSG00000237787	0.999	0.001	0
ENSG00000051596	0.119	0.881	0
ENSG00000172244	0.528	0.472	0
ENSG00000189241	0.009	0.99	0.001
ENSG00000182511	0.005	0.995	0
ENSG00000100796	0.005	0.995	0
ENSG00000135541	0.044	0.956	0
ENSG00000143376	0.009	0.991	0
ENSG00000214814	0.994	0.006	0
ENSG00000165240	0.074	0.926	0
ENSG00000180739	0.196	0.804	0
ENSG00000172172	0.012	0.988	0
ENSG00000172020	0.965	0.035	0
ENSG00000100218	0.66	0.34	0
ENSG00000163870	0.007	0.993	0
ENSG00000029639	0.069	0.931	0
ENSG00000132604	0.041	0.959	0
ENSG00000139218	0.016	0.984	0
ENSG00000111218	0.805	0.195	0
ENSG00000267596	0.252	0.748	0
ENSG00000142185	0.142	0.858	0
ENSG00000131724	0.005	0.994	0.001
ENSG00000162676	0.074	0.926	0
ENSG00000213417	1	0	0
ENSG00000101194	0.011	0.989	0
ENSG00000112812	0.07	0.93	0
ENSG00000149483	0.01	0.99	0
ENSG00000005884	0.007	0.975	0.017
ENSG00000128595	0.001	0.999	0
ENSG00000136531	0.958	0.042	0
ENSG00000100211	0.006	0.991	0.002
ENSG00000183617	0.007	0.99	0.002
ENSG00000175220	0.006	0.989	0.005
ENSG00000112981	0.041	0.959	0
ENSG00000186479	0.695	0.305	0
ENSG00000156282	1	0	0
ENSG00000168283	0.01	0.99	0
ENSG00000204165	0.077	0.923	0
ENSG00000204533	0.759	0.241	0
ENSG00000178934	0.998	0.002	0
ENSG00000034510	0	0.021	0.979
ENSG00000187608	0.009	0.979	0.012
ENSG00000100652	0.999	0.001	0
ENSG00000258472	0.09	0.91	0
ENSG00000174684	0.009	0.99	0.001
ENSG00000162621	1	0	0
ENSG00000261052	0.765	0.235	0
ENSG00000230873	0.255	0.745	0
ENSG00000167536	0.077	0.923	0
ENSG00000145103	0.177	0.823	0
ENSG00000131652	0.007	0.991	0.001
ENSG00000107185	0.019	0.981	0
ENSG00000090539	0.019	0.981	0
ENSG00000102805	0.024	0.976	0
ENSG00000119314	0.005	0.994	0.001
ENSG00000159259	0.413	0.587	0
ENSG00000196652	0.102	0.898	0
ENSG00000100568	0.009	0.99	0.001
ENSG00000008283	0.001	0.998	0.001
ENSG00000108468	0.006	0.994	0
ENSG00000176566	1	0	0
ENSG00000164114	0.15	0.85	0
ENSG00000169313	0.403	0.597	0
ENSG00000158109	0.009	0.991	0
ENSG00000136044	0.01	0.99	0
ENSG00000163898	0.005	0.994	0.001
ENSG00000102057	0.13	0.87	0
ENSG00000189132	1	0	0
ENSG00000130349	0.056	0.944	0
ENSG00000113163	0.01	0.99	0
ENSG00000141968	0.02	0.98	0
ENSG00000179776	0.009	0.99	0.001
ENSG00000182333	0.926	0.074	0
ENSG00000155760	0.049	0.951	0
ENSG00000125266	0.012	0.985	0.002
ENSG00000184220	0.069	0.931	0
ENSG00000132669	0.006	0.994	0
ENSG00000107404	0.007	0.986	0.006
ENSG00000105829	0.054	0.946	0
ENSG00000244537	1	0	0
ENSG00000160111	0.016	0.984	0
ENSG00000165985	0.861	0.139	0
ENSG00000169026	0.014	0.986	0
ENSG00000196220	0.24	0.76	0
ENSG00000139211	0.011	0.989	0
ENSG00000131238	0.005	0.989	0.006
ENSG00000178804	0.999	0.001	0
ENSG00000088451	0.027	0.973	0
ENSG00000156049	0.031	0.969	0
