gen	lnl	s0	s1	tau	alpha_r_library_1	alpha_r_library_2	alpha_r_library_3	alpha_r_library_4	spike_probability	inactive_mean	inactive_variance	active_mean_component1	active_mean_component2	active_variance_component1	active_variance_component2	weight_active	weight_within_active_component_1	weight_within_active_component_2
150	-38792.1887	-3.5424	-0.0911	0.699	1.8747	2.2595	0.0504	5.6788	3e-04	0.2705	4.5387	2.5256	4.5512	0.6393	0.6393	0.4546	0.9959	0.0041
200	-34198.6468	-3.2943	-0.0722	1.1538	2.048	3.1022	0.0685	4.6714	0.0049	0.3096	4.9342	2.8355	4.0772	0.6537	0.6537	0.5037	0.9894	0.0106
250	-31592.8228	-2.948	-0.0608	1.7924	4.6981	3.4902	0.0901	4.3741	0.007	0.1037	4.748	2.9353	4.2293	0.6405	0.6405	0.5308	0.9604	0.0396
300	-29221.992	-2.0262	-0.0492	2.2945	6.5764	4.2316	0.1579	4.3626	0.0109	0.0388	4.9182	2.9624	4.4756	0.6476	0.6476	0.5568	0.9494	0.0506
350	-27576.3862	-1.4482	-0.0461	1.7902	7.1475	5.3698	0.3428	5.1372	0.0021	-0.0205	4.988	2.8678	4.3872	0.6233	0.6233	0.5442	0.9084	0.0916
400	-26216.9674	-0.7304	-0.0464	1.0088	8.3719	5.3698	0.5271	5.1577	0.0062	0.0345	4.9697	2.863	4.175	0.6483	0.6483	0.5299	0.9077	0.0923
450	-22821.1557	-0.9581	-0.0454	0.871	8.2858	5.952	0.7425	5.7673	0.0127	-0.1216	4.9199	2.8366	4.3214	0.7246	0.7246	0.5445	0.9148	0.0852
500	-20494.8555	-1.1976	-0.0502	0.8817	8.2858	6.4457	1.2355	5.9008	0.0107	-0.1109	4.9222	2.8739	4.4112	0.9295	0.9295	0.5353	0.9374	0.0626
550	-19662.2119	-1.2957	-0.0673	0.922	8.4811	6.5605	1.5768	6.3926	0.0182	-0.2655	4.7827	2.9139	5.0353	0.9094	0.9094	0.5299	0.9497	0.0503
600	-18183.8319	-1.4401	-0.0834	0.902	10.8397	7.5262	1.7548	6.8503	0.011	-0.4675	4.5922	2.9299	5.4079	1.0299	1.0299	0.5568	0.9745	0.0255
650	-16401.0383	-1.5604	-0.1267	0.8661	11.281	8.0762	2.2385	8.2405	0.0131	-0.5711	4.5985	2.8962	6.3552	1.1261	1.1261	0.5693	0.9804	0.0196
700	-15023.9779	-1.6747	-0.1665	0.8485	12.9329	8.8903	3.4731	9.4161	0.0212	-0.9407	4.2487	2.8103	6.6724	1.2514	1.2514	0.6159	0.9881	0.0119
750	-14311.1296	-1.6194	-0.21	0.8292	12.9329	10.2858	3.8889	9.4161	0.0283	-1.1132	4.0849	2.8153	6.3734	1.2679	1.2679	0.6411	0.9803	0.0197
800	-13471.3709	-1.6787	-0.2456	0.7997	14.7537	10.2858	6.0651	10.1621	0.0418	-1.1411	3.4936	2.8714	6.5729	1.3518	1.3518	0.6331	0.9853	0.0147
850	-12264.9208	-1.787	-0.2904	0.7787	14.7537	10.5107	8.1497	10.1621	0.0477	-1.0671	4.0944	2.8992	6.9562	1.362	1.362	0.6183	0.9892	0.0108
900	-11425.502	-1.8494	-0.333	0.7957	16.9113	10.5107	12.7948	12.6495	0.0392	-0.7727	4.7838	2.9118	6.5356	1.2009	1.2009	0.6007	0.9784	0.0216
950	-11151.1456	-1.9242	-0.334	0.7951	18.73	12.766	15.2014	12.1227	0.0536	-1.1126	4.7504	2.8597	6.3833	1.255	1.255	0.6156	0.9811	0.0189
1000	-10838.2547	-2.0045	-0.3341	0.832	18.1972	12.8177	15.2014	12.1227	0.0271	-1.1946	4.6738	2.8666	7.4478	1.3433	1.3433	0.6165	0.9889	0.0111
1050	-10678.0538	-2.0484	-0.351	0.8747	18.1972	12.8177	14.6327	12.1227	0.0585	-1.3044	3.9103	2.8701	6.9015	1.405	1.405	0.6467	0.9882	0.0118
1100	-10732.1674	-1.9764	-0.3536	0.8165	16.7912	12.8177	17.1322	12.1227	0.0655	-1.3538	3.602	2.8403	6.8914	1.4233	1.4233	0.651	0.99	0.01
1150	-10533.3797	-2.0252	-0.3608	0.8687	20.6646	12.8177	16.5604	13.3841	0.0865	-1.1866	3.656	2.8113	6.2666	1.382	1.382	0.6506	0.9838	0.0162
1200	-10406.3748	-2.0337	-0.3424	0.8342	20.6646	14.7116	16.5604	12.957	0.0714	-1.339	3.2961	2.8245	6.7084	1.3817	1.3817	0.6553	0.9893	0.0107
1250	-10412.8088	-2.0474	-0.3413	0.8423	17.7496	14.7116	17.3227	12.4251	0.0699	-1.3175	3.5987	2.8178	7.0664	1.4869	1.4869	0.669	0.9925	0.0075
1300	-10530.996	-2.0651	-0.346	0.8524	19.904	13.4709	16.7016	11.1775	0.0491	-1.5434	3.6527	2.8662	6.5976	1.4029	1.4029	0.6539	0.9879	0.0121
1350	-10470.2873	-2.0199	-0.3593	0.8435	19.904	12.3301	15.8972	12.5955	0.0726	-1.5607	3.4596	2.7939	6.3276	1.4486	1.4486	0.663	0.984	0.016
1400	-10521.6756	-2.0252	-0.3521	0.8428	18.5188	12.3301	15.8552	12.6575	0.0433	-1.4583	3.8544	2.8402	7.3284	1.4396	1.4396	0.6583	0.9909	0.0091
