gene_id	gene_length
ENSG00000127720	872.4545
ENSG00000256574	1756.333
ENSG00000109819	1391.733
ENSG00000161057	1335.667
ENSG00000237787	577
ENSG00000051596	767
ENSG00000172244	1198.6
ENSG00000189241	3325
ENSG00000182511	1282.167
ENSG00000100796	2074.714
ENSG00000135541	1994.526
ENSG00000143376	4483.6
ENSG00000214814	5914.5
ENSG00000165240	7393
ENSG00000180739	1628.667
ENSG00000172172	1022.571
ENSG00000172020	1792.5
ENSG00000100218	663.6
ENSG00000163870	1343.909
ENSG00000029639	638
ENSG00000132604	1135.308
ENSG00000139218	2010
ENSG00000111218	3005.75
ENSG00000267596	895.5
ENSG00000142185	4228.143
ENSG00000131724	1881.25
ENSG00000162676	2204
ENSG00000213417	762
ENSG00000101194	1968.286
ENSG00000112812	1117.6
ENSG00000149483	1188.583
ENSG00000005884	1676.706
ENSG00000128595	2967.125
ENSG00000136531	6050
ENSG00000100211	718.6
ENSG00000183617	556
ENSG00000175220	1536.714
ENSG00000112981	627
ENSG00000186479	1790
ENSG00000156282	730
ENSG00000168283	871.5
ENSG00000204165	547.5
ENSG00000204533	715
ENSG00000178934	504.5
ENSG00000034510	489
ENSG00000187608	709
ENSG00000100652	2044
ENSG00000258472	1861
ENSG00000174684	2070
ENSG00000162621	2690
ENSG00000261052	1178.538
ENSG00000230873	1441.667
ENSG00000167536	1360.4
ENSG00000145103	1924.2
ENSG00000131652	1072.7
ENSG00000107185	3290.667
ENSG00000090539	1907
ENSG00000102805	2381
ENSG00000119314	3647.5
ENSG00000159259	2049.667
ENSG00000196652	4308.25
ENSG00000100568	1477
ENSG00000008283	1334.143
ENSG00000108468	1184.667
ENSG00000176566	3323
ENSG00000164114	1987.25
ENSG00000169313	1360.5
ENSG00000158109	2297
ENSG00000136044	1195.125
ENSG00000163898	1479
ENSG00000102057	2709
ENSG00000189132	2121
ENSG00000130349	1150.5
ENSG00000113163	2303.857
ENSG00000141968	1693.9
ENSG00000179776	1640.286
ENSG00000182333	1169.333
ENSG00000155760	3850
ENSG00000125266	4456
ENSG00000184220	894
ENSG00000132669	1771.429
ENSG00000107404	2256.667
ENSG00000105829	1271.429
ENSG00000244537	762
ENSG00000160111	1355.85
ENSG00000165985	2491
ENSG00000169026	1358.889
ENSG00000196220	2782.75
ENSG00000139211	2974.75
ENSG00000131238	1045.6
ENSG00000178804	969.5
ENSG00000088451	1162.667
ENSG00000156049	1582.5
ENSG00000099330	839.5333
ENSG00000155792	1503.333
ENSG00000221855	923
ENSG00000178567	7438
ENSG00000101146	1688.222
ENSG00000131153	1274
ENSG00000164330	2808.1
ENSG00000160285	2156
ENSG00000105053	1260.481
ENSG00000121671	1112.8
ENSG00000154822	2972.4
ENSG00000131686	972
ENSG00000183840	2396
ENSG00000100577	1157.368
ENSG00000136026	1496
ENSG00000133665	1573
ENSG00000243649	1191.133
ENSG00000078114	1559.571
ENSG00000169291	4593.333
ENSG00000177045	2364.667
ENSG00000181852	1328.364
ENSG00000167553	1025.556
ENSG00000165905	1676.333
ENSG00000132139	2831
ENSG00000181938	1190.1
ENSG00000082258	2322.091
ENSG00000116062	2208.75
